,BTC vs SPY,BTC vs QQQ,BTC vs Gold,BTC vs TLT
2015-07-08,,,,
2015-07-09,,,,
2015-07-10,,,,
2015-07-13,,,,
2015-07-14,,,,
2015-07-15,,,,
2015-07-16,,,,
2015-07-17,,,,
2015-07-20,,,,
2015-07-21,,,,
2015-07-22,,,,
2015-07-23,,,,
2015-07-24,,,,
2015-07-27,,,,
2015-07-28,,,,
2015-07-29,,,,
2015-07-30,,,,
2015-07-31,,,,
2015-08-03,,,,
2015-08-04,,,,
2015-08-05,,,,
2015-08-06,,,,
2015-08-07,,,,
2015-08-10,,,,
2015-08-11,,,,
2015-08-12,,,,
2015-08-13,,,,
2015-08-14,,,,
2015-08-17,,,,
2015-08-18,,,,
2015-08-19,,,,
2015-08-20,,,,
2015-08-21,,,,
2015-08-24,,,,
2015-08-25,,,,
2015-08-26,,,,
2015-08-27,,,,
2015-08-28,,,,
2015-08-31,,,,
2015-09-01,,,,
2015-09-02,,,,
2015-09-03,,,,
2015-09-04,,,,
2015-09-08,,,,
2015-09-09,,,,
2015-09-10,,,,
2015-09-11,,,,
2015-09-14,,,,
2015-09-15,,,,
2015-09-16,,,,
2015-09-17,,,,
2015-09-18,,,,
2015-09-21,,,,
2015-09-22,,,,
2015-09-23,,,,
2015-09-24,,,,
2015-09-25,,,,
2015-09-28,,,,
2015-09-29,,,,
2015-09-30,,,,
2015-10-01,,,,
2015-10-02,,,,
2015-10-05,,,,
2015-10-06,,,,
2015-10-07,,,,
2015-10-08,,,,
2015-10-09,,,,
2015-10-12,,,,
2015-10-13,,,,
2015-10-14,,,,
2015-10-15,,,,
2015-10-16,,,,
2015-10-19,,,,
2015-10-20,,,,
2015-10-21,,,,
2015-10-22,,,,
2015-10-23,,,,
2015-10-26,,,,
2015-10-27,,,,
2015-10-28,,,,
2015-10-29,,,,
2015-10-30,,,,
2015-11-02,,,,
2015-11-03,,,,
2015-11-04,,,,
2015-11-05,,,,
2015-11-06,,,,
2015-11-09,,,,
2015-11-10,,,,
2015-11-11,,,,
2015-11-12,,,,
2015-11-13,,,,
2015-11-16,,,,
2015-11-17,,,,
2015-11-18,,,,
2015-11-19,,,,
2015-11-20,,,,
2015-11-23,,,,
2015-11-24,,,,
2015-11-25,,,,
2015-11-27,,,,
2015-11-30,,,,
2015-12-01,,,,
2015-12-02,,,,
2015-12-03,,,,
2015-12-04,,,,
2015-12-07,,,,
2015-12-08,,,,
2015-12-09,,,,
2015-12-10,,,,
2015-12-11,,,,
2015-12-14,,,,
2015-12-15,,,,
2015-12-16,,,,
2015-12-17,,,,
2015-12-18,,,,
2015-12-21,,,,
2015-12-22,,,,
2015-12-23,,,,
2015-12-24,,,,
2015-12-28,,,,
2015-12-29,,,,
2015-12-30,,,,
2015-12-31,,,,
2016-01-04,0.05785248112544913,0.041972951668442865,-0.012940708926761444,-0.014622178903646995
2016-01-05,0.03583690800668592,0.026330670546053703,0.008454596046347808,0.005476353836478844
2016-01-06,0.040771683438807306,0.03189892196166448,0.0018698907460415425,-0.0028789849992445463
2016-01-07,0.021929648640767137,0.011508430693173737,0.01345139139970497,-0.0011776333928755268
2016-01-08,0.03046042336260113,0.01887883115183258,0.012389116019761623,-0.006958436983259061
2016-01-11,0.032083541152432025,0.01982832367141661,0.010823758536004643,-0.007961409426249993
2016-01-12,0.02361499665727223,0.009706296442049844,0.022540988792243304,-0.007803243479803302
2016-01-13,0.022353280883269006,0.012343802200365062,0.017384502907842804,-0.00897474091548897
2016-01-14,0.008537468105208378,0.00032365586170369663,0.01706128307959006,0.00915643036828471
2016-01-15,0.06111070765262884,0.06518237827069913,-0.05709072794505047,-0.047704163621350625
2016-01-19,0.06341518043932741,0.06709378934302944,-0.05555887507397512,-0.05062592664579685
2016-01-20,0.04851433729337368,0.06246922229657149,-0.039849888905357234,-0.04006435866744356
2016-01-21,0.04324762471988601,0.059452294780005265,-0.041367901780897685,-0.029670256428731487
2016-01-22,0.023539509727770185,0.03650381047584168,-0.040483746489286855,-0.02568504037757877
2016-01-25,0.019849762290881565,0.03365979790579185,-0.03805201026936122,-0.02372653803312131
2016-01-26,0.015721892020792102,0.0368531600036848,-0.01973565098477174,-0.01909012786999301
2016-01-27,0.009735450414675014,0.026555897156690128,-0.013790883673374056,-0.01840923366483183
2016-01-28,-0.008463948977483331,0.01618487887970725,-0.019587170784135136,0.002272996615409414
2016-01-29,-0.00920472920405399,0.015576553858023154,-0.021228649992181263,0.0014818218703205968
2016-02-01,-0.013713169392123631,0.012713116731217713,-0.014484631817925699,0.009015217654932132
2016-02-02,-0.020725848777669347,0.008522279467207279,-0.009464327690834993,0.011327631484977478
2016-02-03,-0.014025644419330975,0.013528449289784878,-0.018448188492233227,0.000857761547651896
2016-02-04,-0.01321376630007154,0.013360330359628294,-0.009894805594014669,0.003828202760136533
2016-02-05,-0.005801383819048822,0.020244914811982713,-0.010878615243978203,-0.002195537438016914
2016-02-08,0.0001070998499602628,0.02638827002603402,-0.010534333218147526,-0.00703580262654333
2016-02-09,-0.0004514245262163214,0.02593361497893547,-0.009903809022702083,-0.007251340575737457
2016-02-10,-4.594745952812063e-05,0.0270366197953461,-0.008946983179459663,-0.006411628274204762
2016-02-11,0.0011294660068978941,0.027336647905400555,-0.013542418028383532,-0.006932375917055759
2016-02-12,0.002276174893573155,0.027646647791307596,-0.014479351230668257,-0.008344541988505651
2016-02-16,0.010161064319963203,0.034723033650817865,-0.03959840052918373,-0.008404518795784651
2016-02-17,0.012868685608288945,0.03811434414422388,-0.031820832351713284,-0.004152961755851576
2016-02-18,0.012504072016765427,0.03734942269652445,-0.026848218079748413,-0.0003368373745306471
2016-02-19,0.012598530578452475,0.03654701894983496,-0.025742478946914137,0.0007329677131438905
2016-02-22,0.017650391762970622,0.04116305750805847,-0.03279418693250007,1.4636277166725404e-05
2016-02-23,0.023127537469346548,0.04730133722953381,-0.039719440816077145,0.0011707073307041286
2016-02-24,0.02360280976756155,0.047886155749813565,-0.03950310678592694,0.0015309690536014372
2016-02-25,0.02297030392595923,0.04730874291165464,-0.039264791309642215,0.0017743339800206223
2016-02-26,0.022547024711858914,0.04749433385696288,-0.04019329485203106,-0.0011459594929067289
2016-02-29,0.024325294318344216,0.04977752679568944,-0.03937313573797834,-0.007531058215545679
2016-03-01,0.016403314024303364,0.04044151353836358,-0.03468029715565162,0.012980302225883813
2016-03-02,0.01584694445427792,0.04114946228501717,-0.03673216265205798,0.012558928811792951
2016-03-03,0.014077616103621259,0.040211615973724774,-0.0394923291182446,0.01229102837254642
2016-03-04,0.012962767606250704,0.03993573631788565,-0.038712637404022913,0.014623768046023732
2016-03-07,0.01083395608143127,0.03815144537036987,-0.0440503165994647,0.010763242118203578
2016-03-08,0.008534245604074406,0.03701263307345505,-0.04456772647874851,0.003946366961829851
2016-03-09,0.009530260494241742,0.03807860913415179,-0.04418382360387088,0.003098744147175436
2016-03-10,0.009920189713000481,0.038792219310190466,-0.04222950758935398,0.001724537391533296
2016-03-11,0.012675354254094958,0.040587522078486066,-0.04391866961326519,0.0005105219428404639
2016-03-14,0.010711067981351156,0.0391126113408272,-0.041019109070604715,-0.0013047146741126021
2016-03-15,0.008395645750478863,0.03731467946563149,-0.04086086526266464,-0.0032090202050280747
2016-03-16,0.0076519666846066,0.03743234571306137,-0.042279825451535656,-0.0013172408592682927
2016-03-17,0.022219094848897405,0.047555524754091624,-0.018767779097749078,0.024234540353105367
2016-03-18,0.021752016745256276,0.046917639226976796,-0.01746085088450144,0.024504246900320107
2016-03-21,0.021810235726837112,0.047124817585051215,-0.018203704989455307,0.023775894110808438
2016-03-22,0.02212884522702324,0.047705458745591144,-0.019178715628547876,0.024016062105598715
2016-03-23,0.017368307545476153,0.045590154987473604,-0.016111587750880393,0.03389035304137469
2016-03-24,0.017435490495035646,0.0458356192347476,-0.015899072223080585,0.033892937871671136
2016-03-28,0.017712119283511962,0.04581374861921167,-0.01600355248363974,0.03568550962229116
2016-03-29,0.015737706796881957,0.042848730769145894,-0.02101516182243534,0.034312853651579565
2016-03-30,0.015533958125927791,0.04267502661873457,-0.01990270179531679,0.035113506832851145
2016-03-31,0.013900337893231612,0.041089809466753904,-0.01998660920845167,0.035677304645548524
2016-04-01,0.01432373542769251,0.04159103725738571,-0.022172286273466305,0.034195094402079414
2016-04-04,0.013310846862747423,0.041319651108239555,-0.021920854420245196,0.037175835217472024
2016-04-05,0.012349636190117386,0.04043297860486425,-0.022434732624832445,0.03812903616589053
2016-04-06,0.011469535458769895,0.039477534495118226,-0.022849387220357564,0.039761982541597164
2016-04-07,0.013342101060047077,0.042591365308816936,-0.025982473452408304,0.039104600073030765
2016-04-08,0.013500465800700408,0.04315552816948921,-0.02655603993543831,0.038536106887241996
2016-04-11,0.015561598551895903,0.04442285831949061,-0.02150991174690023,0.03911888295807273
2016-04-12,0.013290104872436955,0.043554478560094194,-0.026364281036656792,0.03974417735118602
2016-04-13,0.013101180055958679,0.041944452376819166,-0.027599144709893,0.041990771698839476
2016-04-14,0.01220723015762775,0.04095660811087024,-0.029134044545081922,0.042345424949156774
2016-04-15,0.012157173587720218,0.040995610964680546,-0.027501201769514375,0.044580105112188524
2016-04-18,0.008022267654987635,0.03666245300675623,-0.025752839851631664,0.04919818541289699
2016-04-19,0.007998118543916657,0.03529285998517073,-0.022718497078955468,0.04925698188030632
2016-04-20,0.008798938143514451,0.03376095617616309,-0.026536296564672837,0.050490852451944145
2016-04-21,0.008267105383103298,0.03413561682489024,-0.0272698468175552,0.04794627604787034
2016-04-22,0.008096021655275887,0.035452992795263795,-0.025952370771594874,0.04799244338855334
2016-04-25,0.008069238305468891,0.03872021785892878,-0.02943331688740261,0.048211455100619166
2016-04-26,0.00760090764124,0.03810516586502771,-0.026369849251147662,0.04777123466391191
2016-04-27,0.007115382126628832,0.04135486492001405,-0.026031590676879296,0.03804959153739193
2016-04-28,0.006265574406425884,0.04034778981426964,-0.024671280687562185,0.03793648522418895
2016-04-29,0.010570136714818547,0.04646585334926331,-0.012698006075790488,0.037523043641612644
2016-05-02,0.01073829595454842,0.046707836288044216,-0.012459629316209888,0.03744261385793766
2016-05-03,0.008922135172739288,0.04544296284028482,-0.01571147250652236,0.042412135896469055
2016-05-04,0.00764565541765524,0.04388621395383172,-0.014343057268544656,0.041304196056168634
2016-05-05,0.006216349967602963,0.041987821790194946,-0.014671918135052683,0.034635750251588854
2016-05-06,0.005822905304128809,0.04147894134157192,-0.008996519160546536,0.028221197030866507
2016-05-09,0.0021416170928841073,0.038642389918256734,-0.009983393482027876,0.02745843113560609
2016-05-10,-0.001828222408210929,0.03501514964711688,-0.011222761214554693,0.024611789646081118
2016-05-11,-0.0021973410371936997,0.03457584887832827,-0.010349524949768353,0.024879428436024132
2016-05-12,-0.002164903924866509,0.03497567532201744,-0.005531247306685096,0.022209830867504266
2016-05-13,-0.0019502650758115897,0.03522202859931178,-0.005542211217678719,0.022045080965147543
2016-05-16,-0.002674016363882537,0.03437252791014519,-0.005576763544359449,0.02308800398442974
2016-05-17,-0.0014584207480416748,0.03575332386985503,-0.00582044250552401,0.018004954029968254
2016-05-18,-0.0014931404535133573,0.03562039253336438,-0.006961878414276782,0.017162370914969367
2016-05-19,6.177036363499718e-05,0.03736270023792184,-0.006052996360580916,0.015026041057488808
2016-05-20,0.0004075480136638153,0.037817151568278556,-0.0060516528010113035,0.014637733820518148
2016-05-23,0.0009000457941147438,0.0380043062766131,-0.005848603751679529,0.014662061509423653
2016-05-24,-0.0009784313769464331,0.036287326633910245,-0.009110341780748606,0.018495884845632384
2016-05-25,-0.00033567962537727614,0.03708819564949158,-0.009299047353419694,0.01826495646904442
2016-05-26,-0.00035867729703685096,0.03717325216133177,-0.009499615153706818,0.01850977906180417
2016-05-27,0.0012877182995634732,0.0388035261481676,-0.013674248446344926,0.017534314565505128
2016-05-31,-5.336750702778702e-05,0.04203540703934433,-0.008850454811107645,0.010916597460621376
2016-06-01,0.0001959426687411691,0.04231630769098216,-0.009366986090800394,0.013031324777331118
2016-06-02,0.00023355901781380487,0.0423813303310224,-0.009643896061365146,0.01207843017718804
2016-06-03,-0.0027062711979276865,0.038966614081276586,0.007337878053059,0.023915248130972025
2016-06-06,-0.0013899739058874485,0.039679938534603276,0.007253142785003111,0.021014790969179277
2016-06-07,-0.0008850025528233434,0.041308563115770476,0.0071473161633664765,0.020787526208924163
2016-06-08,-0.0007390950491835618,0.041339840032138996,0.00793188406476524,0.02089013500768056
2016-06-09,0.00024945752755507473,0.042368590771538754,0.007436281299157767,0.018936437565312107
2016-06-10,0.00018502648938510235,0.042228388201693896,0.0074507606685908475,0.019270343726726712
2016-06-13,-0.017589089846096383,0.023211416200640475,0.02361024457621976,0.02830556502307353
2016-06-14,-0.01576750342109628,0.024321927913409442,0.02225089537417945,0.02856860763085889
2016-06-15,-0.01902034750436441,0.02167407807827579,0.02537789007483945,0.023978705600125768
2016-06-16,-0.01564287195981026,0.024075494451483763,0.013827151373080293,0.027710225645828257
2016-06-17,-0.013905440454046403,0.027654832013570718,0.01088144835137958,0.02967822706038182
2016-06-20,-0.016312593827706893,0.02557124563941151,0.01178083890782367,0.0362171472637338
2016-06-21,-0.019152451753860048,0.022223413691209653,0.033240525960960894,0.04415105706826164
2016-06-22,-0.01686740609607843,0.024183180665029298,0.03139130314160546,0.0408688282324816
2016-06-23,-0.012817913772688247,0.028230504269551752,0.027648118724543497,0.036282582918251816
2016-06-24,-0.03375402718558512,0.0070825650559200575,0.05621981772566158,0.05528615713453779
2016-06-27,-0.03015195231997496,0.010113600125562082,0.05521241871756368,0.048655142307318884
2016-06-28,-0.022997816357512867,0.016769081532408123,0.05514810762072564,0.03345856504612262
2016-06-29,-0.025740478407171388,0.014001259831855165,0.05589594080239076,0.03684727218785208
2016-06-30,-0.017848104535194153,0.01969670127324264,0.05704358559611625,0.03489033410511944
2016-07-01,-0.01803691007523072,0.01971280650606183,0.056391522383358865,0.03521776208155424
2016-07-05,-0.01574569229831878,0.021367679411870844,0.05452518817431689,0.023000466780447572
2016-07-06,-0.014563745925361913,0.022005621172264997,0.053132847314041186,0.024680885627300333
2016-07-07,-0.012002322831095067,0.022504489608766914,0.055174011820247185,0.02401712372001028
2016-07-08,-0.006722257879082634,0.02675496786710588,0.05714671263216915,0.024619424238577818
2016-07-11,-0.014159681373401397,0.018945236089140796,0.06015706085126568,0.040167122126913805
2016-07-12,-0.01487765528182501,0.016913284252561472,0.05718906483431338,0.03611639642261321
2016-07-13,-0.014035190405562661,0.018340369813177416,0.05494647693578616,0.033991682336365875
2016-07-14,-0.014006487148393181,0.01848468541340839,0.0542352177668662,0.03474247439857596
2016-07-15,-0.011751494832811259,0.022028614077477554,0.05282936316451533,0.0366611145601154
2016-07-18,-0.011499483592547419,0.022542842058424783,0.05310909300972625,0.0364087063031342
2016-07-19,-0.01142749579355444,0.022844110105076375,0.05217198956426476,0.035764681300260504
2016-07-20,-0.012617897831613465,0.021320125759743607,0.05360715843059808,0.03778924704399456
2016-07-21,-0.012396534628996795,0.021529876485054673,0.05273608791241389,0.037679071798267585
2016-07-22,-0.013917827775669139,0.020412305643704453,0.054334161142561746,0.03869206209174523
2016-07-25,-0.009865327469180205,0.02375135946119053,0.05077494499854181,0.03785002552078426
2016-07-26,-0.009018131054929318,0.024733560684043206,0.05133138654784341,0.03693959826484486
2016-07-27,-0.008905008514629458,0.02482290642589222,0.05112722441221452,0.03675012514290969
2016-07-28,-0.0076336721004614414,0.025346818368932458,0.05137009001478226,0.03575120179827586
2016-07-29,-0.007649737336920079,0.025723696401443907,0.05030660090904799,0.03655764650420718
2016-08-01,-0.0069836157350042175,0.022027964923169635,0.04990901458843751,0.0488646919822132
2016-08-02,-0.0010625457263676041,0.02759972914359095,0.040904790528329266,0.0634123305329238
2016-08-03,-5.125325947882077e-05,0.02850441988717892,0.03901005025551654,0.06457905045661788
2016-08-04,0.0005201795958950553,0.029789108168073564,0.03847491442693809,0.0645600659987059
2016-08-05,-0.0014080209680631679,0.027172425909311602,0.04044292043206701,0.06724832176306285
2016-08-08,-0.0016202023467601515,0.026870030867309457,0.04001649095987352,0.0678936867790311
2016-08-09,0.005139847897991223,0.032027010414630644,0.0452214000979699,0.05807044454094547
2016-08-10,0.006704920487225884,0.033978296453701914,0.04460299983760694,0.05512910382669353
2016-08-11,0.006493594584811993,0.03417153566473537,0.04779199934230541,0.05471518215511005
2016-08-12,0.006381533539520683,0.03396055394772176,0.04694601039298453,0.053424858228363216
2016-08-15,0.0053596193590047326,0.03266630994619265,0.045862768243993074,0.057848217329690095
2016-08-16,0.006290916389987591,0.03415784018711495,0.047065020453392004,0.05895846003003574
2016-08-17,0.0004684583209985461,0.027128216914074972,0.0475764480019264,0.04082018197386601
2016-08-18,0.006190702264095368,0.03143167321087102,0.038869078716938746,0.0327902207471355
2016-08-19,0.013648565943396095,0.04000983206592669,0.03339982001127689,0.028820935840343637
2016-08-22,0.008690134863372341,0.03478263475749068,0.034027465126601784,0.030847930174145197
2016-08-23,-0.03735805622634682,0.00032121237846177063,0.0283435363801464,0.03010647335265444
2016-08-24,-0.030321673965234393,0.0030165870812930333,0.036333122725844644,0.04155752714931313
2016-08-25,-0.037325970772872155,-0.003576169331791451,0.03883177872465853,0.046491396128122184
2016-08-26,-0.03524553920236463,-0.0014593783822517874,0.03884661718681061,0.04652860737217854
2016-08-29,-0.03583509701934721,-0.0014060951046035955,0.036501306922229054,0.043184538104097496
2016-08-30,-0.03692519694993621,-0.0027210333343350816,0.03629588730458104,0.0420207087301596
2016-08-31,-0.04189784366594205,-0.006597864751979772,0.03690818404347211,0.04312165824710271
2016-09-01,-0.04232431226997739,-0.007083294224888346,0.03660600165531613,0.04327114934177852
2016-09-02,-0.04223345575228099,-0.007784307758842769,0.03561317319054514,0.04380916317085124
2016-09-06,-0.03894712531564506,-0.003515808694558388,0.04521678639906169,0.047605133410389855
2016-09-07,-0.055419775594547596,-0.01833067613692981,0.045566646322089704,0.059309185669671666
2016-09-08,-0.06071202045948047,-0.022499901336638584,0.04090943119864065,0.057929750559506284
2016-09-09,-0.05678739475290261,-0.019409754494328024,0.04169406733228441,0.05949161152980939
2016-09-12,-0.06118329172451418,-0.024243092782726378,0.04231263733214303,0.05931606387782607
2016-09-13,-0.06275926646612932,-0.025549809904435023,0.04253009771866001,0.06028788858351121
2016-09-14,-0.06209466021083304,-0.02501452957816793,0.042239420770035334,0.05936449945551972
2016-09-15,-0.06227179155744183,-0.02596958271179563,0.04440682414084354,0.05946141864247237
2016-09-16,-0.062052885409003625,-0.02592429176837056,0.04477203464588828,0.05932836511755537
2016-09-19,-0.060605483937961245,-0.024613307047049112,0.04413443701220112,0.05786190382034486
2016-09-20,-0.059010343010309746,-0.023952557750900768,0.042039460716194625,0.05124103683439986
2016-09-21,-0.0602168843951458,-0.024398057718890028,0.03941389638788461,0.046971934021445866
2016-09-22,-0.06073043666121397,-0.02479542136081213,0.039521990736202654,0.046240512198824725
2016-09-23,-0.06048942750527347,-0.024649596059976898,0.03678618426738149,0.044950151164326366
2016-09-26,-0.06083686583199949,-0.02518957249454745,0.03662200352805745,0.045132662667064324
2016-09-27,-0.05833558961862422,-0.022490714202093677,0.03914614467524205,0.04184334731991156
2016-09-28,-0.05869049296958361,-0.023454809145217654,0.038696477898588065,0.04257153232956667
2016-09-29,-0.05715169698730134,-0.021809453567369526,0.03800604266653471,0.042116818045094366
2016-09-30,-0.05694369945480136,-0.021715166956404946,0.03793493788234534,0.04161022519452826
2016-10-03,-0.056241936169021976,-0.020867316712361757,0.03946932562489901,0.04208327308933729
2016-10-04,-0.05794294849538846,-0.021987735949134907,0.041608538747040756,0.045142900737863374
2016-10-05,-0.05707746856134156,-0.02097045993977954,0.03974821706611588,0.044152396071165674
2016-10-06,-0.055585982406897466,-0.02001254793966955,0.039719538976256956,0.04353695041945085
2016-10-07,-0.05503064217583155,-0.01983309704109252,0.039337059108507974,0.042776222092506505
2016-10-10,-0.055083127058644966,-0.020001829892472456,0.039070992704346524,0.0427731024481927
2016-10-11,-0.05977591458992694,-0.024639211651439702,0.03714755859216456,0.04146167886206807
2016-10-12,-0.05893907632859475,-0.023591094716229288,0.036377709627854096,0.04114150343767748
2016-10-13,-0.05845005460581736,-0.023324516110797014,0.03547152604431644,0.04040295686882908
2016-10-14,-0.05969288340970156,-0.02422491935154891,0.035637696981771515,0.04026983547341498
2016-10-17,-0.06102789609400153,-0.025193325420810365,0.03786856449402708,0.03978403914711811
2016-10-18,-0.06141500969994195,-0.025594533753194336,0.03737746143900089,0.03945366353583367
2016-10-19,-0.06150241943504816,-0.024451396084201046,0.03527072018615764,0.04115578649740304
2016-10-20,-0.062776701531182,-0.025488592938496125,0.03388860130052643,0.04338200714066648
2016-10-21,-0.06847117295896347,-0.030901173452659515,0.03411213086549139,0.04295564647751261
2016-10-24,-0.06778089384370543,-0.029110268083429234,0.0333684117472216,0.04166363075132324
2016-10-25,-0.06698750265072818,-0.029292524104382846,0.03381900960472868,0.0393655130295868
2016-10-26,-0.06705138965331994,-0.031778069209366384,0.03151238971873081,0.0357596469909544
2016-10-27,-0.07236207400919063,-0.0351803744395556,0.03475893315551666,0.036001934424121265
2016-10-28,-0.07209073576751256,-0.034565161385436326,0.037621221470546716,0.04253278864285776
2016-10-31,-0.0699685124312585,-0.03276855770936044,0.03998781620063457,0.039480462620758786
2016-11-01,-0.08916114848770663,-0.04788275891321613,0.05045849624043428,0.04687443522354749
2016-11-02,-0.09604934617417175,-0.05405213188139902,0.07227804067340891,0.06312198707570184
2016-11-03,-0.09008948901000356,-0.045707784726363374,0.0699239829081779,0.07095799570631964
2016-11-04,-0.09184369826267305,-0.04861161740588277,0.06764716587868375,0.07063473061042097
2016-11-07,-0.09208661183957269,-0.048820639715816495,0.06250336775730524,0.06398276639727582
2016-11-08,-0.09038714802482899,-0.04701244683664785,0.06183471991879711,0.06471422814701543
2016-11-09,-0.08693973266353584,-0.05096125385812602,0.059309632127380385,0.057309508249068525
2016-11-10,-0.09285356486827182,-0.049957186213139354,0.05858959571491343,0.057923707836055036
2016-11-11,-0.07824206150692004,-0.04136770549094675,0.059773199918835056,0.053313917858105186
2016-11-14,-0.07978092629064122,-0.040999089236526794,0.061382293002655276,0.055621679218694535
2016-11-15,-0.07525368520082654,-0.03673676032467821,0.062134371465758044,0.05568767081888192
2016-11-16,-0.07616158846400023,-0.03395605589724826,0.06192977642731645,0.06055206369055763
2016-11-17,-0.07600754436450774,-0.03366009662603403,0.06243677804145951,0.06202905988665987
2016-11-18,-0.07693393606200159,-0.034014716489351254,0.06494481012729145,0.06442805704917488
2016-11-21,-0.07809000537761007,-0.03508059241030411,0.06322503697882562,0.06297898123697379
2016-11-22,-0.07780275167112957,-0.03470223490300186,0.06309824104682338,0.06292017943520306
2016-11-23,-0.07766119571204139,-0.034235156896067764,0.06661051383526312,0.0635941730995267
2016-11-25,-0.07791333979971712,-0.034668789981511926,0.06846207053762407,0.06280841281299679
2016-11-28,-0.07912585873050644,-0.03596702648801018,0.08065287738318377,0.06381262635483542
2016-11-29,-0.07644859227496216,-0.03463957896114263,0.07763530624273604,0.06108212131854905
2016-11-30,-0.0717383181472779,-0.03139197902381666,0.07747480981943732,0.0670031749115161
2016-12-01,-0.07441932414963845,-0.03445414535518508,0.0751595255903583,0.06508962629563976
2016-12-02,-0.07435464952114841,-0.03375091397443356,0.0764081908869925,0.06962509376568593
2016-12-05,-0.07784239644092261,-0.03713778405285974,0.07822416759152054,0.06986295636913735
2016-12-06,-0.07089777589477546,-0.032829574327157905,0.09334985012003892,0.05848920835773348
2016-12-07,-0.06570436832165778,-0.032511200887340184,0.09309076094575257,0.05858101069493114
2016-12-08,-0.06557819802681217,-0.03229629046189303,0.09312294790035426,0.05827683805168365
2016-12-09,-0.06532956136378194,-0.03191389555352793,0.09286126402833955,0.0582515864990434
2016-12-12,-0.04199173349578038,-0.008963077286211173,0.0891551184958089,0.03908837873633225
2016-12-13,-0.04087279056138164,-0.0075312011059180065,0.08636655426761378,0.03522882978813795
2016-12-14,-0.047561114927609886,-0.010650370665594974,0.08830193455020706,0.03961365100692845
2016-12-15,-0.04294445924073668,-0.006376073850699051,0.09314223259315789,0.038273559735093686
2016-12-16,-0.04348567007464564,-0.00672559457509229,0.09438502970502421,0.03821300525325295
2016-12-19,-0.03982858484688285,-0.0030657357106571984,0.09260096377390738,0.038148094437435796
2016-12-20,-0.03307782333129603,0.004776419187131926,0.10013609860001942,0.03760805712134602
2016-12-21,-0.03402254449222839,0.00479756052420872,0.09952492953539344,0.03935050590487717
2016-12-22,-0.03710675619700341,0.0025714173309444492,0.0986299949538186,0.03960752406716959
2016-12-23,-0.0350830623262195,0.0029636222434622885,0.09813723168030052,0.03912264739032692
2016-12-27,-0.03846870871250289,0.002669668247109077,0.09249516738730451,0.04262355137072538
